Trading Name,Outlet Name,Website,Outlet Address,Outlet Suburb,Outlet Postcode,Telephone Number,Online Mail Order Flag,Australia Wide Flag,Overseas Flag,Senior Scheme Flag,Carer Scheme Flag,Business Category,Discount,Latitude,Longitude
Choice Hotels Australasia,Comfort Inn Sugar Country,www.choicehotels.com.au,Comfort Inn Sugar Country,BUNDABERG,4670,13 24 00,No,Yes,No,Yes,No,Accommodation,Up to 10% off the best available rate.,-24.868027,152.344225
Choice Hotels Australasia,Comfort Inn The Rose,www.choicehotels.com.au,Comfort Inn The Rose,MACKAY,4740,13 24 00,No,Yes,No,Yes,No,Accommodation,Up to 10% off the best available rate.,-21.165901,149.154031
Choice Hotels Australasia,Comfort Inn Warwick,www.choicehotels.com.au,Comfort Inn Warwick,WARWICK,4370,13 24 00,No,Yes,No,Yes,No,Accommodation,Up to 10% off the best available rate.,-28.209785,152.034885
Choice Hotels Australasia,Comfort Resort Blue Pacific,www.choicehotels.com.au,Comfort Resort Blue Pacific,MACKAY,4740,13 24 00,No,Yes,No,Yes,No,Accommodation,Up to 10% off the best available rate.,-21.050656,149.190829
Choice Hotels Australasia,Denison Boutique Hotel ,www.choicehotels.com.au,Denison Boutique Hotel,ROCKHAMPTON,4700,13 24 00,No,Yes,No,Yes,No,Accommodation,Up to 10% off the best available rate.,-23.372204,150.503548
Choice Hotels Australasia,Econo Lodge City Star Brisbane,www.choicehotels.com.au,Econo Lodge City Star Brisbane - Kangaroo Point,BRISBANE,4169,13 24 00,No,Yes,No,Yes,No,Accommodation,Up to 10% off the best available rate.,-27.479874,153.03592
Choice Hotels Australasia,Econo Lodge Citywalk,www.choicehotels.com.au,Econo Lodge Citywalk,ROCKHAMPTON,4700,13 24 00,No,Yes,No,Yes,No,Accommodation,Up to 10% off the best available rate.,-23.383559,150.509581
Choice Hotels Australasia,Econo Lodge Rusty's,www.choicehotels.com.au,Econo Lodge Rusty's,GLADSTONE,4680,13 24 00,No,Yes,No,Yes,No,Accommodation,Up to 10% off the best available rate.,-23.846724,151.257501
Choice Hotels Australasia,Oceans Resort,www.choicehotels.com.au,Oceans Resort,"URANGAN, HERVEY BAY",4655,(blank),No,Yes,No,Yes,No,Accommodation,Up to 10% off the best available rate.,-25.281841,152.901721
Choice Hotels Australasia,Quality Hotel Airport International,www.choicehotels.com.au,Quality Hotel Airport International,BRISBANE,4007,13 24 00,No,Yes,No,Yes,No,Accommodation,Up to 10% off the best available rate.,-27.438207,153.067816
Choice Hotels Australasia,Quality Hotel Mermaid Waters,www.choicehotels.com.au,Quality Hotel Mermaid Waters - cnr Markeri St/Sunshine Blvd,MERMAID WATERS,4218,13 24 00,No,Yes,No,Yes,No,Accommodation,Up to 10% off the best available rate.,-28.048016,153.427044
Choice Hotels Australasia,Quality Hotel Platinum International,www.choicehotels.com.au,Quality Hotel Platinum International,TOOWOOMBA,4350,13 24 00,No,Yes,No,Yes,No,Accommodation,Up to 10% off the best available rate.,-27.566643,151.931215
Choice Hotels Australasia,Quality Hotel Regent,www.choicehotels.com.au,Quality Inn Regent,ROCKHAMPTON,4700,13 24 00,No,Yes,No,Yes,No,Accommodation,Up to 10% off the best available rate.,-23.379751,150.512418
Choice Hotels Australasia,Quality Hotel The Inchcolm,www.choicehotels.com.au,Quality Hotel The Inchcolm,BRISBANE CITY,4000,13 24 00,No,Yes,No,Yes,No,Accommodation,Up to 10% off the best available rate.,-27.463507,153.023047
Choice Hotels Australasia,Quality Inn Airport Heritage,www.choicehotels.com.au,Quality Inn Airport Heritage,BRISBANE,4000,13 24 00,No,Yes,No,Yes,No,Accommodation,Up to 10% off the best available rate.,-27.438207,153.067816
Choice Hotels Australasia,Quality Inn Harbour City,www.choicehotels.com.au,Quality Inn Harbour City,GLADSTONE,4680,13 24 00,No,Yes,No,Yes,No,Accommodation,Up to 10% off the best available rate.,-23.843876,151.255379
Choice Hotels Australasia,Quality Inn Overlander Homestead,www.choicehotels.com.au,Quality Inn Overlander Homestead,ROMA,4455,13 24 00,No,Yes,No,Yes,No,Accommodation,Up to 10% off the best available rate.,-26.571581,148.770803
Choice Hotels Australasia,Quality Inn Swagsman,www.choicehotels.com.au,Quality Inn Swagsman,MILES,4415,13 24 00,No,Yes,No,Yes,No,Accommodation,Up to 10% off the best available rate.,-26.657279,150.18151
Austral Masonry,Austral Masonry,www.australmasonry.com.au,14 Daniel St,CALOUNDRA WEST,4551,(07) 5491 2933,No,No,No,Yes,No,Bricks and Pavers,10% off heritage/grey block/paver/retaining wall products.,-26.793712,153.108893
Chris Hoole Master Painters (QBCC Act Lic 746294),Chris Hoole Master Painters,www.chrishoolepainters.com.au,Mobile Service,BRISBANE - ALL AREAS,4030,(07) 3857 5765,No,Yes,No,Yes,No,Painters,10% discount.,(blank),(blank)
Chris Mahons Plumbing (QBCC Act Lic 51912),Chris Mahons Plumbing,(blank),Mobile Service,KIPPA-RING & SURROUNDING AREAS,4021,0418 719 828,No,No,No,Yes,Yes,Plumbers and Gasfitters,10% discount on labour. Excludes materials.,(blank),(blank)
AudioClinic,AudioClinic,www.audioclinic.com.au,Diamond Dental Care - Shop 4  1 Chancellor Village Blvd,CHANCELLOR PARK,4556,(07) 5444 6010,No,Yes,Yes,Yes,Yes,Hearing Products and Services,$500 disc. on a range of hearing devices. Cond. apply.,-26.718985,153.050193
Christensen Harbison Optometrists,Christensen Harbison Optometrists,(blank),7 Barolin St,BUNDABERG,4670,(07) 4151 2767,No,Yes,No,Yes,Yes,Optometrists and Optical Dispensers,10% discount on every new frame.,-24.866756,152.348726
Cifonda Silks,Cifonda Silks,(blank),Email: cifondasilks@hotmail.com,(blank),0,(07) 4097 0108,No,Yes,No,Yes,Yes,"Art, Craft and Sewing",10% off embroidery threads - 170 colours.  Free samples.,(blank),(blank)
Circle on Cavill Amcal Chempro Chemist,Circle on Cavill Amcal Chempro Chemist,(blank),Circle on Cavill - 3184 Surfers Paradise Blvd,SURFERS PARADISE ,4217,0424 174 094,No,Yes,No,Yes,No,Pharmacies,10% off everything in store (excluding prescriptions/sale items).,-28.001001,153.427386
City & Country Industrial Supplies Pty Ltd,City & Country Wholesalers Australia P/L,www.ccindustrialsupplies.com.au,574-576 Alice St,MARYBOROUGH,4650,(07) 4121 0422,No,No,No,Yes,Yes,Hardware and Tools,Trade discount pricing.,-25.523242,152.675367
City Caravans Queensland,City Caravan Centre,www.citycaravans.com.au,4006 Pacific Hwy,LOGANHOLME,4129,(07) 3801 1477,No,No,No,Yes,No,"Camper Trailers, Caravans and Motorhomes",10% discount on all parts and accessories.,-27.673723,153.183917
City Denture Clinic,City Denture Clinic,www.citydenture.com.au,T & G Bldg - Suite 5 L 15  141 Queen St,BRISBANE,4000,(07) 3177 6558,No,Yes,No,Yes,Yes,Dental Prosthetists,10% discount on all treatment charges.,-27.469739,153.025788
City Funeral Services,City Funeral Services,www.cityfuneralsmackay.com.au      ,105-107 Sydney St,MACKAY,4740,(07) 4957 4653,No,Yes,No,Yes,Yes,Funeral Services,$250 off full funeral cost. Mention card when booking.,-21.15114,149.185393
City Gold Bullion,City Gold Bullion,http://www.citygoldbullion.com.au/,Level 2  17-19 Mt Gravatt-Capalaba Rd,UPPER MOUNT GRAVATT,4122,(07) 3349 7965,No,Yes,Yes,Yes,Yes,Financial Services,$2 discount on every 1 oz 99.99% silver koala coin.,-27.559594,153.081351
City Hire,City Hire,www.cityhire.com.au,1049 Ipswich Rd ,MOOROOKA,4105,(07) 3848 4444,No,Yes,No,Yes,Yes,Equipment and Machinery Hire,"5% off hire items. Excludes consumable items, transport & labour.",-27.532223,153.016417
City Hire,City Hire,www.cityhire.com.au,12 Herston Rd,KELVIN GROVE,4059,(07) 3352 5122,No,Yes,No,Yes,Yes,Equipment and Machinery Hire,"5% off hire items. Excludes consumable items, transport & labour.",-27.445156,153.00877
City Hire,City Hire,www.cityhire.com.au,679 Gympie Rd,LAWNTON,4501,(07) 3881 2266,No,Yes,No,Yes,Yes,Equipment and Machinery Hire,"5% off hire items. Excludes consumable items, transport & labour.",-27.291389,152.986131
City Mitre 10,City Mitre 10,www.mitre10.com.au,165 Elizabeth St,BRISBANE CITY,4000,(07) 3229 1733,No,Yes,No,Yes,Yes,Hardware and Tools,Up to 10% off retail prices. Excl. promotion/sale items.,-27.471633,153.023592
City Mitre 10,City Mitre 10,www.mitre10.com.au,45 Adelaide St,BRISBANE CITY,4000,(07) 3210 1281,No,Yes,No,Yes,Yes,Hardware and Tools,Up to 10% off retail prices. Excl. promotion/sale items.,-27.469768,153.02384
Hobbits Knob Cat Retreat,Hobbits Knob Cat Retreat,www.catretreat.com.au,129 Dales Rd,CHEVALLUM,4555,(07) 5478 9882,No,Yes,No,Yes,Yes,Boarding Kennels and Catteries,10% discount on the total cost of cat accommodation.,-26.708433,152.984224
Civility Hair Salon Day Spa,Civility Hair Salon Day Spa,www.civilitycairns.com.au,168 Buchan St,CAIRNS,4870,(07) 4031 2077,No,Yes,No,Yes,Yes,Beauty Products and Services,10% off services Mon-Fri excl. Pub. Hols conditions apply.,-16.931705,145.763419
Civility Hair Salon Day Spa,Civility Hair Salon Day Spa,www.civilitycairns.com.au,168 Buchan St,CAIRNS,4870,(07) 4031 2077,No,Yes,No,Yes,Yes,Hairdressers and Barbers,10% off services Mon-Fri excluding Pub. Hols. Cond. apply.,-16.931705,145.763419
Coolum Hotel,Coolum Hotel,www.coolumbeachhotel.com.au,David Low Way,COOLUM,4573,(07) 5446 1899,No,Yes,Yes,Yes,Yes,"Clubs, Hotels and Taverns",10% off bistro menu. Excludes seniors menu & other offers.,-26.518698,153.075095
Clancyjames,Clancyjames,www.clancyjames.com.au,144 Indooroopilly Rd,TARINGA,4068,(07) 3876 0633,No,No,No,Yes,Yes,Butchers,10% disc Mon-Fri before 2pm. Excl. sale items and offers.,-27.497225,152.99
Clancyjames,Clancyjames,www.clancyjames.com.au,Mayfair Village on Manly - cnr Manly / Hargreaves Rds,MANLY WEST,4179,(07) 3390 6004,No,No,No,Yes,Yes,Butchers,10% disc Mon-Fri before 2pm. Excl. sale items and offers.,-27.474818,153.155886
Clancyjames,Clancyjames,www.clancyjames.com.au,Village Markets Skygate - 1-5 The Circuit (opp. DFO carpark),BRISBANE AIRPORT,4007,(07) 3114 1150,No,No,No,Yes,Yes,Butchers,10% disc Mon-Fri before 2pm. Excl. sale items and offers.,-27.416166,153.081737
Clancyjames,Clancyjames Yeronga,www.clancyjames.com.au,Yeronga Village - 419 Fairfield Rd,YERONGA,4104,(07) 3844 5272,No,No,No,Yes,Yes,Butchers,10% disc Mon-Fri before 2pm. Excl. sale items and offers.,-27.516312,153.01705
Clark Rubber Southport,Clark Rubber Southport,www.clarkrubber.com.au,106 Ferry Rd,SOUTHPORT,4215,(07) 5561 1333,No,Yes,No,Yes,Yes,Beds and Mattresses,5% discount.,-27.97983,153.411244
Clark Rubber Southport,Clark Rubber Southport,www.clarkrubber.com.au,106 Ferry Rd,SOUTHPORT,4215,(07) 5561 1333,No,Yes,No,Yes,Yes,Carpets and Floor Coverings,5% discount.,-27.97983,153.411244
Clark Rubber Southport,Clark Rubber Southport,www.clarkrubber.com.au,106 Ferry Rd,SOUTHPORT,4215,(07) 5561 1333,No,Yes,No,Yes,Yes,Children and Babies,5% discount.,-27.97983,153.411244
Clark Rubber Southport,Clark Rubber Southport,www.clarkrubber.com.au,106 Ferry Rd,SOUTHPORT,4215,(07) 5561 1333,No,Yes,No,Yes,Yes,Furniture and Outdoor Furniture,5% discount.,-27.97983,153.411244
Clark Rubber Southport,Clark Rubber Southport,www.clarkrubber.com.au,106 Ferry Rd,SOUTHPORT,4215,(07) 5561 1333,No,Yes,No,Yes,Yes,Pools and Spas,5% discount.,-27.97983,153.411244
Clark Rubber Southport,Clark Rubber Southport,www.clarkrubber.com.au,106 Ferry Rd,SOUTHPORT,4215,(07) 5561 1333,No,Yes,No,Yes,Yes,Rubber and Foam Supplies,5% discount.,-27.97983,153.411244
Classic Coatings Australia Pty Ltd (QBCC Act Lic 1133418),Classic Coatings Australia Pty Ltd,www.classiccoatings.com.au,36 Sandalwood Dr,WONDUNNA,4655,(07) 4194 6604,No,No,No,Yes,Yes,Painters,10% discount on all domestic painting services. Conditions apply,-25.312091,152.869384
Classic Paint Supplies,Classic Paint Supplies,www.paintplace.com.au,195 Bloomfield St,CLEVELAND,4163,(07) 3821 2771,No,Yes,No,Yes,Yes,Paint,5% discount.,-27.531053,153.265602
Classic Photographics,Classic Photographics,www.classicphotographics.com.au,13 Telopia Ct,CASHMERE,4500,(07) 3882 2079,No,Yes,Yes,Yes,Yes,Photographic Products and Services,10% off passport and visa photography.,-27.309044,152.934881
Claude Cater Mensland,Claude Cater Mensland,(blank),199-201 Byrnes St,MAREEBA,4880,(07) 4092 1133,No,Yes,No,Yes,Yes,Clothing,"5% discount. Excludes sale items, work wear & school wear.",-17.019413,145.395169
Claybourn Oilskins,Clayburn Oilskins,www.claybournoilskins.com.au,U 3  37 Moss St,SLACKS CREEK,4127,(07) 3290 4077,No,Yes,No,Yes,Yes,Clothing,"10% off oilskin coats, overpants, hats and bags.",-27.623009,153.121135
Clayfield Chiropractic Clinic,Clayfield Chiropractic Clinic,www.brisbanechiropractor.com.au,Shop 10  688 Sandgate Rd,CLAYFIELD,4011,(07) 3862 2611,No,Yes,No,Yes,No,Chiropractors,8% discount on all services.,-27.427699,153.045376
Clayfield Veterinary Clinic,Clayfield Veterinary Clinic,www.clayfieldvet.com.au,743 Sandgate Rd,CLAYFIELD,4011,(07) 3262 1988,No,Yes,No,Yes,Yes,Veterinarians,10% discount on all professional services.,-27.41821,153.056184
Network Video Coolum,Network Video Coolum,www.networkvideo.com.au,154 Coolum Yandina Rd,COOLUM,4573,(07) 5446 3177,No,Yes,No,Yes,No,DVD and Video Libraries,10% discount on all rentals.,-26.536288,153.078786
Clean Cruising,Clean Cruising,http://www.cleancruising.com.au/,L3  10 Felix St,BRISBANE,4000,(07) 3100 7930,No,Yes,Yes,Yes,Yes,Cruises and Boat Charters,"$130 Cruise Pack with every booking, without conditions.",-27.470857,153.030155
Clean Team,Clean Team,(blank),Mobile Service,KELSO,4815,1300 347 837,No,No,No,Yes,No,Cleaning Products and Services,10% off all services.  Not valid with any other offer.,(blank),(blank)
Clear Optometry,Clear Optometry,www.clearoptometry.com.au,Centre Point Shp Cnt,BARGARA,4670,(07) 4130 5099,No,Yes,No,Yes,Yes,Optometrists and Optical Dispensers,10% off full-priced frames and lenses.  Conditions apply.,-24.814846,152.463605
Clearshield Surface Technology,Clearshield Surface Technology,www.cstnaturals.com.au,Mobile Service,ELANORA,4221,0402 129 730,No,No,No,Yes,Yes,Glass and Mirrors,Easy clean glass treatment. 10% off shower screens.,(blank),(blank)
Clearwater Pool Care Pty Ltd,Clearwater Pool Care,(blank),50 Teasdale Dr,NERANG,4211,0412 173 200,No,Yes,No,Yes,Yes,Pools and Spas,20% off pumps/filters/chlorinators. 15% off labour pre GST,-28.005847,153.310987
Clevacrete,Clevacrete,(blank),Mobile Service,BURLEIGH WATERS,4220,0404 634 271,No,No,No,Yes,Yes,Cleaning Products and Services,25% off high pressure water blasting. Must present card.,(blank),(blank)
Clevacrete,Clevacrete,(blank),Mobile Service,BURLEIGH WATERS,4220,0404 634 271,No,No,No,Yes,Yes,"Concrete, Asphalt and Bitumen Services",25% off decorative concrete and resurfacing. Must present card.,(blank),(blank)
Cleveland Mitre 10 Home & Trade,Cleveland Mitre 10 Home & Trade,www.mitre10.com.au,25-31 Shore St,CLEVELAND,4163,(07) 3821 1153,No,No,No,Yes,Yes,Hardware and Tools,10% off selected items. Contact store for details.,-27.524839,153.254369
Cliff Tucker Plumbing Pty Ltd (QBCC Act Lic 1183533),Cliff Tucker Plumbing Pty Ltd,www.clifftuckerplumbing.com.au,U 4  115 Roberts St,EMERALD,4720,(07) 4982 1613,No,Yes,No,Yes,Yes,Plumbers and Gasfitters,10% discount on plumbing.,-23.528374,148.149471
Clifford Garden Meats,Clifford Garden Meats,(blank),Clifford Gardens Shp Cnt,TOOWOOMBA,4350,(07) 4634 6855,No,Yes,No,Yes,No,Butchers,5% off all purchases over $20. Excludes specials and bulk meat.,-27.564892,151.932407
Clifford's Grill and Lounge,Clifford's Grill and Lounge,www.watermarkhotelgoldcoast.com.au/amalfi-bistr,3032 Surfers Paradise Blvd,SURFERS PARADISE,4217,(07) 5588 8305,No,Yes,No,Yes,Yes,Restaurants and Dining Out,10% off food and beverages.,-28.001001,153.427386
Clifton Beach Retreat,Clifton Beach Retreat,www.cliftonbeachretreat.com.au,35 Batt St,CLIFTON BEACH,4879,0407 168 116,No,Yes,No,Yes,Yes,Accommodation - B and B,10% off mid week 2 night min. Continental breakfast incl.,-16.771853,145.67827
Clifton Palms,Clifton Palms,www.cliftonpalms.com.au,35-41 Upolu Espl,CLIFTON BEACH,4879,(07) 4055 3839,No,Yes,No,Yes,Yes,Accommodation,10% off rack rates. Conditions may apply.,-16.762352,145.672832
Clock Movement Importers,Clock Movement Importers,www.cmi-hermle.com,(blank),(blank),(blank),(07) 3271 2555,Yes,Yes,No,Yes,Yes,Games and Hobbies,10% off. Excl. specials. Direct trading/phone orders only.,(blank),(blank)
Clock Movement Importers,Clock Movement Importers,www.cmi-hermle.com,(blank),(blank),(blank),(07) 3271 2555,Yes,Yes,No,Yes,Yes,Watches and Clocks,10% off. Excl. specials. Direct trading/phone orders only.,(blank),(blank)
Clock Movement Importers,Clock Movement Importers,www.cmi-hermle.com,54 Westgate St,WACOL,4076,(07) 3271 2555,No,Yes,No,Yes,Yes,Games and Hobbies,10% off. Excl. specials. Direct trading/phone orders only.,-27.589687,152.932891
Clock Movement Importers,Clock Movement Importers,www.cmi-hermle.com,54 Westgate St,WACOL,4076,(07) 3271 2555,No,Yes,No,Yes,Yes,Watches and Clocks,10% off. Excl. specials. Direct trading/phone orders only.,-27.589687,152.932891
Close Dental ,Close Dental,www.closedental.com.au,759 Sandgate Rd,CLAYFIELD,4011,(07) 3862 1702,No,Yes,No,Yes,Yes,Dentists,5% discount on all services.,-27.41782,153.05663
Club Beenleigh ,Club Beenleigh ,www.clubbeenleigh.com.au,28A Alamein St,BEENLEIGH,4207,(07) 3807 5836,No,Yes,No,Yes,Yes,Sporting Clubs,10% discount on main menu meals only. Must present card.,-27.711798,153.205534
Club Croc Hotel Airlie Beach,Club Croc Hotel Airlie Beach,http://www.clubcroc.com.au,240 Shute Harbour Rd,CANNONVALE,4802,(07) 4050 1327,No,Yes,No,Yes,No,Accommodation,20% discount per room.  Conditions apply.,-20.275168,148.703631
Club Tavern,Club Tavern,www.clubtavern.com.au,16 Matthew Tce,CABOOLTURE,4510,(07) 5495 1088,No,Yes,Yes,Yes,Yes,"Clubs, Hotels and Taverns",10% off bistro menu. Excludes seniors menu & other offers.,-27.082934,152.953088
Lea's Short Cuts,Lea's Short Cuts,(blank),Village Shp Cnt - Birtwill St,COOLUM,4573,(07) 5446 1136,No,Yes,No,Yes,No,Hairdressers and Barbers,20% off every day.  Ladies' and men's haircuts.,-26.527151,153.088788
Clue Detective Puzzle Agency,Clue Detective Puzzle Agency,http://cluedetective.com,(blank),(blank),(blank),0458 591 799,Yes,Yes,Yes,Yes,Yes,Games and Hobbies,10% off. Use promo code SAVVYSENIOR when checking out.,(blank),(blank)
Clubb Coolum Beach Resort,Clubb Coolum Beach Resort,www.clubbcoolum.com.au,1740 David Low Way,COOLUM BEACH,4573,(07) 5446 3888,No,Yes,No,Yes,No,Accommodation,Disc. mid week spec. and long term stays. Call for details,-26.533661,153.093
Coast Hardware - Colour Mitre 10 Bundall,Coast Hardware - Colour Mitre 10 Bundall,www.mitre10bundall.com.au,cnr Upton/Ashmore Rds,BUNDALL,4217,(07) 5538 1433,No,Yes,No,Yes,Yes,Hardware and Tools,"Trade discount, conditions apply.",-28.011255,153.409513
Coast to Coast Financial Services,Coast to Coast Financial Services,(blank),13 Primrose Ct,RUNAWAY BAY,4216,(07) 5577 5425,No,Yes,No,Yes,Yes,Financial Services,Confused with retirement options? Talk with us for free.,-27.899481,153.396982
Coast to Coast Rock'n'Roll,Coast to Coast Rock'n'Roll,www.coast-to-coast.com.au,Helensvale Seniors Hall - 37 Discovery Dr,HELENSVALE,4212,(07) 5529 6244,No,Yes,No,Yes,Yes,Sports and Recreation,Free rock n roll lessons for the first night only.,-27.917834,153.336258
Coastal Car Air Conditioning,Coastal Car Air Conditioning,www.coastalcarair.com.au,Mobile Service,GOLD COAST - ALL AREAS,4214,1300 554 009,No,Yes,No,Yes,Yes,Air Conditioning,10% off all car air conditioning and electrical work.,(blank),(blank)
Coastal Car Air Conditioning,Coastal Car Air Conditioning,www.coastalcarair.com.au,Mobile Service,GOLD COAST - ALL AREAS,4214,1300 554 009,No,Yes,No,Yes,Yes,Electrical,10% off all car air conditioning and electrical work.,(blank),(blank)
Coastal Chiropractic & Wellbeing,Coastal Chiropractic & Wellbeing,www.coastalchiro.com.au,Shop 7  109 West Burleigh Rd,BURLEIGH WATERS,4220,(07) 5520 2555,No,Yes,No,Yes,Yes,Chiropractors,12.5% off applied kinesiology and chiropractic care.,-28.094336,153.442512
Coastal Doors,Coastal Doors,(blank),7 Cruiser Ct. Call 0414 759 761 or,MERMAID WATERS,4218,(07) 5572 3515,No,No,No,Yes,Yes,Garage Doors,10% off RRP remote auto openers including labour.,-28.058945,153.428284
Coolum Caprice,Coolum Caprice,www.coolumcaprice.com.au,1770 David Low Way,COOLUM BEACH,4573,(07) 5446 2177,No,Yes,No,Yes,Yes,Accommodation,10% off online rate. ,-26.532239,153.092153
Coolum Seaside Apartments,Coolum Seaside Apartments,www.coolumseaside.com,6 Perry St,COOLUM BEACH,4573,(07) 5455 7200,No,Yes,No,Yes,Yes,Accommodation,10% discount on accommodation.,-26.532094,153.090216
Coastline Electrical Service Pty Ltd (Elect Lic 66365),Coastline Electrical Service Pty Ltd,www.coastline-electrical.com.au,U 9  5-7 Villiers Dr,CURRUMBIN,4223,(07) 5525 0900,No,Yes,No,Yes,Yes,Electrical Goods,"10% off repairs/spare parts for stoves, hot water systems.",-28.151554,153.47108
Coastline Electrical Service Pty Ltd (Elect Lic 66365),Coastline Electrical Service Pty Ltd,www.coastline-electrical.com.au,U 9  5-7 Villiers Dr,CURRUMBIN,4223,(07) 5525 0900,No,Yes,No,Yes,Yes,Electricians,"10% off all electrical installations, service and parts.",-28.151554,153.47108
Cobb+Co Museum,Cobb & Co Museum,www.cobbandco.qm.qld.gov.au,27 Lindsay St,TOOWOOMBA,4350,(blank),No,No,No,Yes,Yes,Museums and Cultural Centres,Discounted entry $10 per person.,-27.555692,151.964603
Cobb+Co Museum,Cobb & Co Museum,www.cobbandco.qm.qld.gov.au,27 Lindsay St,TOOWOOMBA,4350,(blank),No,No,No,Yes,Yes,Tourist Attractions,Discounted entry $10 per person.,-27.555692,151.964603
The Point Coolum,The Point Coolum,www.thepointcoolum.com.au,1 Bay Tce,COOLUM BEACH,4573,(07) 5440 9888,No,Yes,No,Yes,Yes,Accommodation,25% off rack rate for 3 days plus stays. 10% off rack rate for stays of 2-3 days. All for low season only. ,-26.541899,153.094971
Coffee & Cream Cafe,Coffee & cream cafe,(blank),Pialba Place Shp Cnt,PIALBA,4655,(07) 4128 0488,No,Yes,Yes,Yes,Yes,Cafes,5 % discount on purchases,-25.283343,152.84005
Coffee Cuisine Cafe & Takeaway,Coffee Cuisine Cafe & Takeaway,(blank),Shop 9  699 Sherwood Rd,SHERWOOD,4075,(07) 3278 3341,No,Yes,No,Yes,No,Cafes,10% discount on all menu items. Excludes specials.,-27.531736,152.980612
Coffee Guru,Coffee Guru,(blank),"Myer Centre, Queen St mall",BRISBANE,4000,(07) 3221 7669,No,Yes,No,Yes,No,Cafes,10% discount.,-27.470088,153.024726
Coffey Pharmacy,Coffey Pharmacy,www.coffeypharmacy.com.au,685 Main St,KANGAROO POINT,4169,(07) 3391 2383,No,Yes,No,Yes,No,Pharmacies,10% discount. Excludes prescriptions and sale items.,-27.480878,153.035402
Cognition Psychology ,Cognition Psychology ,(blank),55 Painswick St,BERSERKER,4701,(07) 4927 1242,No,Yes,No,Yes,No,Psychologists and Counselling,Bulk-billing of consultations. Must have a GP care-plan.,-23.36768,150.522515
Cold Rock Coolangatta,Cold Rock Coolangatta,(blank),Shop 8  99 Griffith St,COOLANGATTA,4225,(07) 5599 4439,No,Yes,No,Yes,Yes,Ice Creamery,10% discount on all icecream orders.,-28.168515,153.54036
Cold Rock Hervey Bay,Cold Rock Hervey Bay,www.coldrock.com.au,Shop 1  174 Boat Harbour Dr,PIALBA,4655,(07) 4191 4590,No,Yes,Yes,Yes,Yes,Ice Creamery,Present your card and receive 10% off any product.,-25.285141,152.819377
Cold Rock Ice Creamery - Chermside,Cold Rock Ice Creamery - Deception Bay,www.coldrock.com.au,1 Bay ave,DECEPTION BAY,4508,07 34193100,No,Yes,Yes,Yes,No,Ice Creamery,10% off all products in store.,-27.194284,153.029133
Cold Rock Ice Creamery - Chermside,Cold Rock Ice Creamery- Chermside,www.coldrock.com.au,Westfield Shp Cnt,CHERMSIDE,4032,(07) 3359 9676,No,Yes,Yes,Yes,No,Ice Creamery,10% off all products in store.,-27.383648,153.030398
Cold Rock Ice Creamery - North Rockhampton,Cold Rock Ice Creamery North Rockhampton,www.coldrock.com.au,Shop 11  379-385 Yaamba Rd,PARK AVENUE,4701,(07) 4926 5788,No,Yes,No,Yes,Yes,Ice Creamery,10% discount.,-23.343487,150.519574
Collins Booksellers Smithfield NQ,Collins Booksellers,www.collinsbooks.com.au,Smithfield Shp Cnt,SMITHFIELD,4872,(07) 4038 1786,No,Yes,No,Yes,Yes,"Books, Magazines and Newspapers",10% off all books unless already discounted.,-16.838022,145.689359
Colly Dolly Music & Movies,Colly Dolly Music & Movies,www.collydolly.com,IGA Centre - 135-139 Byrnes St,MAREEBA,4880,0412 939 443,No,Yes,No,Yes,Yes,DVD and Video Libraries,Present card for 10% discount. Excludes discounted items.,-16.99395,145.422959
Colly Dolly Music & Movies,Colly Dolly Music & Movies,www.collydolly.com,IGA Centre - 135-139 Byrnes St,MAREEBA,4880,0412 939 443,No,Yes,No,Yes,Yes,Music Retailers and Instruments ,Present card for 10% discount. Excludes discounted items.,-16.99395,145.422959
Colorite Painting Contractors (QBCC Act Lic 537467),Colorite Painting Contractors,(blank),102 Lansdowne Way,CHUWAR,4306,(07) 3202 1615,No,No,No,Yes,Yes,Painters,10% discount on all services.,-27.562029,152.788352
Colour Queens Hairstyles,Colour Queens Styles,(blank),Shop 13  21 Peachester Rd,BEERWAH,4519,(07) 5439 0420,No,Yes,No,Yes,Yes,Hairdressers and Barbers,20% discount Monday to Friday on all full price services.,-26.85769,152.955522
Colour Smart Paint & Panel,Colour Smart Paint & Panel,www.coloursmart.net.au,U 5  34 Old Pacific Hwy,YATALA,4207,0439 993 209,No,Yes,No,Yes,Yes,Panel and Paint Repairs,10% discount on all services.,-27.731235,153.223487
Com2 Communications,Com2 Communications,http://com2.com.au/,Lvl 23  127 Creek St,BRISBANE,4000,1300 887 495,No,Yes,Yes,Yes,Yes,Telecommunications,10% discount off Com2 services.,-27.465699,153.027736
Combohealth Physiotherapy,Combohealth Physiotherapy,http://combohealthphysiotherapy.com.au,Shop 7 1-11 Wembley Rd,LOGAN CENTRAL,4114,(07) 3299 5444,No,Yes,No,Yes,Yes,Physiotherapists,10% discount. Conditions apply.,-27.641747,153.117827
Comet Battery Co,Comet Battery Co,www.lionbatteries.com.au,54 Granite St,GEEBUNG,4034,(07) 3265 2233,No,Yes,No,Yes,Yes,Air Conditioning,"10% off Comet batteries, auto air & electrical servicing.",-27.364185,153.049523
